candidate_id,Constraint,template,rule,simulator_supported,arg0,arg1,Support,Coverage,Confidence
notchainsuccession_Task_B_EVENT_1_START,"NotChainSuccession(Task B, EVENT 1 START)",notchainsuccession,NotChainSuccession,True,Task B,EVENT 1 START,0.319,0.319,1.0
response_Task_B_EVENT_7_END,"Response(Task B, EVENT 7 END)",response,eventually,True,Task B,EVENT 7 END,0.159,0.159,1.0
coexistence_Task_B_EVENT_7_END,"CoExistence(Task B, EVENT 7 END)",coexistence,coexistence,True,Task B,EVENT 7 END,0.319,0.319,1.0
notchainsuccession_Task_B_EVENT_7_END,"NotChainSuccession(Task B, EVENT 7 END)",notchainsuccession,NotChainSuccession,True,Task B,EVENT 7 END,0.319,0.319,1.0
coexistence_Task_B_Task_A,"CoExistence(Task B, Task A)",coexistence,coexistence,True,Task B,Task A,0.319,0.319,1.0
notchainsuccession_Task_B_Task_A,"NotChainSuccession(Task B, Task A)",notchainsuccession,NotChainSuccession,True,Task B,Task A,0.319,0.319,1.0
response_Task_B_Task_E,"Response(Task B, Task E)",response,eventually,True,Task B,Task E,0.159,0.159,1.0
coexistence_Task_B_Task_E,"CoExistence(Task B, Task E)",coexistence,coexistence,True,Task B,Task E,0.319,0.319,1.0
notchainsuccession_Task_B_Task_E,"NotChainSuccession(Task B, Task E)",notchainsuccession,NotChainSuccession,True,Task B,Task E,0.319,0.319,1.0
precedence_EVENT_1_START_Task_C,"Precedence(EVENT 1 START, Task C)",precedence,precedence,True,EVENT 1 START,Task C,0.078,0.078,1.0
precedence_Task_A_Task_C,"Precedence(Task A, Task C)",precedence,precedence,True,Task A,Task C,0.078,0.078,1.0
precedence_Task_B_Task_C,"Precedence(Task B, Task C)",precedence,precedence,True,Task B,Task C,0.078,0.078,1.0
notchainsuccession_Task_C_EVENT_1_START,"NotChainSuccession(Task C, EVENT 1 START)",notchainsuccession,NotChainSuccession,True,Task C,EVENT 1 START,0.237,0.237,1.0
response_Task_C_EVENT_7_END,"Response(Task C, EVENT 7 END)",response,eventually,True,Task C,EVENT 7 END,0.078,0.078,1.0
notchainsuccession_Task_C_EVENT_7_END,"NotChainSuccession(Task C, EVENT 7 END)",notchainsuccession,NotChainSuccession,True,Task C,EVENT 7 END,0.237,0.237,1.0
notchainsuccession_Task_C_Task_A,"NotChainSuccession(Task C, Task A)",notchainsuccession,NotChainSuccession,True,Task C,Task A,0.237,0.237,1.0
notchainsuccession_Task_C_Task_B,"NotChainSuccession(Task C, Task B)",notchainsuccession,NotChainSuccession,True,Task C,Task B,0.237,0.237,1.0
response_Task_C_Task_E,"Response(Task C, Task E)",response,eventually,True,Task C,Task E,0.078,0.078,1.0
notchainsuccession_Task_C_Task_E,"NotChainSuccession(Task C, Task E)",notchainsuccession,NotChainSuccession,True,Task C,Task E,0.201,0.237,0.846
precedence_EVENT_1_START_Task_D,"Precedence(EVENT 1 START, Task D)",precedence,precedence,True,EVENT 1 START,Task D,0.125,0.125,1.0
precedence_Task_A_Task_D,"Precedence(Task A, Task D)",precedence,precedence,True,Task A,Task D,0.125,0.125,1.0
precedence_Task_B_Task_D,"Precedence(Task B, Task D)",precedence,precedence,True,Task B,Task D,0.125,0.125,1.0
notchainsuccession_Task_D_EVENT_1_START,"NotChainSuccession(Task D, EVENT 1 START)",notchainsuccession,NotChainSuccession,True,Task D,EVENT 1 START,0.285,0.285,1.0
response_Task_D_EVENT_7_END,"Response(Task D, EVENT 7 END)",response,eventually,True,Task D,EVENT 7 END,0.125,0.125,1.0
notchainsuccession_Task_D_EVENT_7_END,"NotChainSuccession(Task D, EVENT 7 END)",notchainsuccession,NotChainSuccession,True,Task D,EVENT 7 END,0.285,0.285,1.0
notchainsuccession_Task_D_Task_A,"NotChainSuccession(Task D, Task A)",notchainsuccession,NotChainSuccession,True,Task D,Task A,0.285,0.285,1.0
notchainsuccession_Task_D_Task_B,"NotChainSuccession(Task D, Task B)",notchainsuccession,NotChainSuccession,True,Task D,Task B,0.285,0.285,1.0
response_Task_D_Task_E,"Response(Task D, Task E)",response,eventually,True,Task D,Task E,0.125,0.125,1.0
precedence_EVENT_1_START_Task_E,"Precedence(EVENT 1 START, Task E)",precedence,precedence,True,EVENT 1 START,Task E,0.159,0.159,1.0
precedence_Task_A_Task_E,"Precedence(Task A, Task E)",precedence,precedence,True,Task A,Task E,0.159,0.159,1.0
precedence_Task_B_Task_E,"Precedence(Task B, Task E)",precedence,precedence,True,Task B,Task E,0.159,0.159,1.0
coexistence_Task_E_EVENT_1_START,"CoExistence(Task E, EVENT 1 START)",coexistence,coexistence,True,Task E,EVENT 1 START,0.319,0.319,1.0
notchainsuccession_Task_E_EVENT_1_START,"NotChainSuccession(Task E, EVENT 1 START)",notchainsuccession,NotChainSuccession,True,Task E,EVENT 1 START,0.319,0.319,1.0
response_Task_E_EVENT_7_END,"Response(Task E, EVENT 7 END)",response,eventually,True,Task E,EVENT 7 END,0.159,0.159,1.0
coexistence_Task_E_EVENT_7_END,"CoExistence(Task E, EVENT 7 END)",coexistence,coexistence,True,Task E,EVENT 7 END,0.319,0.319,1.0
coexistence_Task_E_Task_A,"CoExistence(Task E, Task A)",coexistence,coexistence,True,Task E,Task A,0.319,0.319,1.0
notchainsuccession_Task_E_Task_A,"NotChainSuccession(Task E, Task A)",notchainsuccession,NotChainSuccession,True,Task E,Task A,0.319,0.319,1.0
coexistence_Task_E_Task_B,"CoExistence(Task E, Task B)",coexistence,coexistence,True,Task E,Task B,0.319,0.319,1.0
notchainsuccession_Task_E_Task_B,"NotChainSuccession(Task E, Task B)",notchainsuccession,NotChainSuccession,True,Task E,Task B,0.319,0.319,1.0
