,elementId,processId,concept:name,lifecycle:transition,time:timestamp,case:concept:name,case:LogType,resourceId,org:resource,resourceCost
95,Activity_10i2g12,Process_1,Task A,complete,2023-06-23 09:01:56.119,526,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000002,4.309027777777778
96,Activity_0noog4x,Process_1,Task B,assign,2023-06-23 09:01:56.119,526,MXML.EnactmentLog,,,
97,Activity_0noog4x,Process_1,Task B,start,2023-06-23 09:01:56.119,526,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000003,
98,Activity_0noog4x,Process_1,Task B,complete,2023-06-23 09:23:27.602,526,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000003,21.524716666666666
99,Activity_1df8of5,Process_1,Task D,assign,2023-06-23 09:23:27.602,526,MXML.EnactmentLog,,,
100,Activity_08imrmf,Process_1,Task C,assign,2023-06-23 09:23:27.602,526,MXML.EnactmentLog,,,
101,Activity_1df8of5,Process_1,Task D,start,2023-06-23 09:23:27.602,526,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000005,
102,Activity_08imrmf,Process_1,Task C,start,2023-06-23 09:23:27.602,526,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000006,
103,Activity_1df8of5,Process_1,Task D,complete,2023-06-23 09:26:23.148,526,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000005,2.9257666666666666
104,Activity_08imrmf,Process_1,Task C,complete,2023-06-23 09:27:43.317,526,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000006,3.551597222222222
105,Activity_1hsmk9h,Process_1,Task E,assign,2023-06-23 09:27:43.317,526,MXML.EnactmentLog,,,
106,Activity_1hsmk9h,Process_1,Task E,start,2023-06-23 09:27:43.317,526,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000010,
107,Activity_1hsmk9h,Process_1,Task E,complete,2023-06-23 10:03:11.040,526,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000010,35.46205
108,Event_00yphyp,Process_1,EVENT 7 END,assign,2023-06-23 10:03:11.040,526,MXML.EnactmentLog,,,
109,Event_00yphyp,Process_1,EVENT 7 END,start,2023-06-23 10:03:11.040,526,MXML.EnactmentLog,,,
110,Event_00yphyp,Process_1,EVENT 7 END,complete,2023-06-23 10:03:11.040,526,MXML.EnactmentLog,,,
111,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-22 16:33:01.069,524,MXML.EnactmentLog,,,
112,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-22 16:33:01.069,524,MXML.EnactmentLog,,,
113,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-22 16:33:01.069,524,MXML.EnactmentLog,,,
114,Activity_10i2g12,Process_1,Task A,assign,2023-06-22 16:33:01.069,524,MXML.EnactmentLog,,,
115,Activity_10i2g12,Process_1,Task A,start,2023-06-22 16:33:01.069,524,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000001,
116,Activity_10i2g12,Process_1,Task A,complete,2023-06-22 16:37:00.190,524,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000001,3.3211250000000003
117,Activity_0noog4x,Process_1,Task B,assign,2023-06-22 16:37:00.190,524,MXML.EnactmentLog,,,
118,Activity_0noog4x,Process_1,Task B,start,2023-06-22 16:37:00.190,524,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000004,
119,Activity_0noog4x,Process_1,Task B,complete,2023-06-22 16:41:25.152,524,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000004,4.416033333333333
120,Activity_1df8of5,Process_1,Task D,assign,2023-06-22 16:41:25.152,524,MXML.EnactmentLog,,,
121,Activity_08imrmf,Process_1,Task C,assign,2023-06-22 16:41:25.152,524,MXML.EnactmentLog,,,
122,Activity_1df8of5,Process_1,Task D,start,2023-06-22 16:41:25.152,524,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000005,
123,Activity_08imrmf,Process_1,Task C,start,2023-06-22 16:41:25.152,524,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000003,
124,Activity_08imrmf,Process_1,Task C,complete,2023-06-22 16:44:46.933,524,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000003,2.802513888888889
125,Activity_1df8of5,Process_1,Task D,complete,2023-06-22 16:54:19.626,524,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000005,12.907900000000001
126,Activity_1hsmk9h,Process_1,Task E,assign,2023-06-22 16:54:19.626,524,MXML.EnactmentLog,,,
127,Activity_1hsmk9h,Process_1,Task E,start,2023-06-22 16:54:19.626,524,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000010,
128,Activity_1hsmk9h,Process_1,Task E,complete,2023-06-22 16:57:42.881,524,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000010,3.387583333333333
129,Event_00yphyp,Process_1,EVENT 7 END,assign,2023-06-22 16:57:42.881,524,MXML.EnactmentLog,,,
130,Event_00yphyp,Process_1,EVENT 7 END,start,2023-06-22 16:57:42.881,524,MXML.EnactmentLog,,,
131,Event_00yphyp,Process_1,EVENT 7 END,complete,2023-06-22 16:57:42.881,524,MXML.EnactmentLog,,,
132,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-20 12:45:18.636,405,MXML.EnactmentLog,,,
133,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-20 12:45:18.636,405,MXML.EnactmentLog,,,
134,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-20 12:45:18.636,405,MXML.EnactmentLog,,,
135,Activity_10i2g12,Process_1,Task A,assign,2023-06-20 12:45:18.636,405,MXML.EnactmentLog,,,
136,Activity_10i2g12,Process_1,Task A,start,2023-06-20 12:45:18.636,405,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000011,
137,Activity_10i2g12,Process_1,Task A,complete,2023-06-20 12:50:02.559,405,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000011,3.943375
138,Activity_0noog4x,Process_1,Task B,assign,2023-06-20 12:50:02.559,405,MXML.EnactmentLog,,,
139,Activity_0noog4x,Process_1,Task B,start,2023-06-20 12:50:02.559,405,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000007,
140,Activity_0noog4x,Process_1,Task B,complete,2023-06-20 13:05:38.538,405,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000007,15.599650000000002
141,Activity_1df8of5,Process_1,Task D,assign,2023-06-20 13:05:38.538,405,MXML.EnactmentLog,,,
142,Activity_1df8of5,Process_1,Task D,start,2023-06-20 13:05:38.538,405,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000008,
143,Activity_1df8of5,Process_1,Task D,complete,2023-06-20 13:05:42.767,405,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000008,0.07048333333333334
144,Activity_1hsmk9h,Process_1,Task E,assign,2023-06-20 13:05:42.767,405,MXML.EnactmentLog,,,
145,Activity_1hsmk9h,Process_1,Task E,start,2023-06-20 13:05:42.767,405,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000004,
146,Activity_1hsmk9h,Process_1,Task E,complete,2023-06-20 13:18:29.380,405,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000004,12.776883333333336
147,Event_00yphyp,Process_1,EVENT 7 END,assign,2023-06-20 13:18:29.380,405,MXML.EnactmentLog,,,
148,Event_00yphyp,Process_1,EVENT 7 END,start,2023-06-20 13:18:29.380,405,MXML.EnactmentLog,,,
149,Event_00yphyp,Process_1,EVENT 7 END,complete,2023-06-20 13:18:29.380,405,MXML.EnactmentLog,,,
150,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-20 13:06:26.599,407,MXML.EnactmentLog,,,
151,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-20 13:06:26.599,407,MXML.EnactmentLog,,,
152,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-20 13:06:26.599,407,MXML.EnactmentLog,,,
153,Activity_10i2g12,Process_1,Task A,assign,2023-06-20 13:06:26.599,407,MXML.EnactmentLog,,,
154,Activity_10i2g12,Process_1,Task A,start,2023-06-20 13:06:26.599,407,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000012,
155,Activity_10i2g12,Process_1,Task A,complete,2023-06-20 13:10:31.648,407,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000012,3.4034583333333335
156,Activity_0noog4x,Process_1,Task B,assign,2023-06-20 13:10:31.648,407,MXML.EnactmentLog,,,
157,Activity_0noog4x,Process_1,Task B,start,2023-06-20 13:10:31.648,407,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000005,
158,Activity_0noog4x,Process_1,Task B,complete,2023-06-20 13:11:59.678,407,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000005,1.4671666666666667
159,Activity_08imrmf,Process_1,Task C,assign,2023-06-20 13:11:59.678,407,MXML.EnactmentLog,,,
160,Activity_08imrmf,Process_1,Task C,start,2023-06-20 13:11:59.678,407,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000015,
161,Activity_08imrmf,Process_1,Task C,complete,2023-06-20 13:16:22.463,407,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000015,3.649791666666667
162,Activity_1hsmk9h,Process_1,Task E,assign,2023-06-20 13:16:22.463,407,MXML.EnactmentLog,,,
163,Activity_1hsmk9h,Process_1,Task E,start,2023-06-20 13:16:22.463,407,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000010,
164,Activity_1hsmk9h,Process_1,Task E,complete,2023-06-20 13:20:16.138,407,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000010,3.8945833333333333
165,Event_00yphyp,Process_1,EVENT 7 END,assign,2023-06-20 13:20:16.138,407,MXML.EnactmentLog,,,
166,Event_00yphyp,Process_1,EVENT 7 END,start,2023-06-20 13:20:16.138,407,MXML.EnactmentLog,,,
167,Event_00yphyp,Process_1,EVENT 7 END,complete,2023-06-20 13:20:16.138,407,MXML.EnactmentLog,,,
168,StartEvent_1,Process_1,EVENT 1 START,assign,2023-06-20 13:15:08.374,408,MXML.EnactmentLog,,,
169,StartEvent_1,Process_1,EVENT 1 START,start,2023-06-20 13:15:08.374,408,MXML.EnactmentLog,,,
170,StartEvent_1,Process_1,EVENT 1 START,complete,2023-06-20 13:15:08.374,408,MXML.EnactmentLog,,,
171,Activity_10i2g12,Process_1,Task A,assign,2023-06-20 13:15:08.374,408,MXML.EnactmentLog,,,
172,Activity_10i2g12,Process_1,Task A,start,2023-06-20 13:15:08.374,408,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000016,
173,Activity_10i2g12,Process_1,Task A,complete,2023-06-20 13:18:58.214,408,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000016,3.192222222222222
174,Activity_0noog4x,Process_1,Task B,assign,2023-06-20 13:18:58.214,408,MXML.EnactmentLog,,,
175,Activity_0noog4x,Process_1,Task B,start,2023-06-20 13:18:58.214,408,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000001,
176,Activity_0noog4x,Process_1,Task B,complete,2023-06-20 13:38:35.734,408,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000001,19.625333333333334
177,Activity_1df8of5,Process_1,Task D,assign,2023-06-20 13:38:35.734,408,MXML.EnactmentLog,,,
178,Activity_08imrmf,Process_1,Task C,assign,2023-06-20 13:38:35.734,408,MXML.EnactmentLog,,,
179,Activity_1df8of5,Process_1,Task D,start,2023-06-20 13:38:35.734,408,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000008,
180,Activity_08imrmf,Process_1,Task C,start,2023-06-20 13:38:35.734,408,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000017,
181,Activity_08imrmf,Process_1,Task C,complete,2023-06-20 13:42:14.573,408,MXML.EnactmentLog,qbp_ce13eb58-27dd-4055-9696-e253e2881446,Resource 1-000017,3.0394305555555556
182,Activity_1df8of5,Process_1,Task D,complete,2023-06-20 13:45:33.013,408,MXML.EnactmentLog,qbp_e1e99767-68be-41c0-b6ab-6db13a47e1ca,Resource 2-000008,6.954649999999999
